Data length, Time, Total bytes, Data rate, Errors
22000, 0.826, 59793, 72388.625, 0
22000, 1.116, 59793, 53577.953, 0
23000, 0.242, 59793, 247078.516, 0
23000, 1.114, 59793, 53674.148, 0
23000, 1.079, 59793, 55415.199, 0
23000, 0.779, 59793, 76756.102, 0
23000, 1.049, 59793, 57000.000, 0
23000, 1.176, 59793, 50844.387, 0
23000, 0.972, 59793, 61515.434, 0
23000, 1.153, 59793, 51858.629, 0
23000, 1.129, 59793, 52961.031, 0
23000, 1.087, 59793, 55007.359, 0
23000, 1.087, 59793, 55007.359, 0
23000, 1.088, 59793, 54956.797, 0
23000, 0.850, 59793, 70344.703, 0
23000, 1.069, 59793, 55933.582, 0
23000, 1.022, 59793, 58505.875, 0
23000, 1.111, 59793, 53819.086, 0
23000, 1.077, 59793, 55518.105, 0
23000, 1.076, 59793, 55569.703, 0
23000, 1.132, 59793, 52820.672, 0
23000, 1.099, 59793, 54406.734, 0
24000, 1.014, 59793, 58967.453, 0
24000, 1.102, 59793, 54258.621, 0
24000, 0.606, 59793, 98668.312, 0
24000, 1.129, 59793, 52961.031, 0
24000, 0.999, 59793, 59852.852, 0
24000, 0.750, 59793, 79724.000, 0
24000, 1.073, 59793, 55725.074, 0
24000, 1.132, 59793, 52820.672, 0
24000, 1.036, 59793, 57715.250, 0
24000, 1.142, 59793, 52358.145, 0
24000, 1.140, 59793, 52450.000, 0
24000, 0.825, 59793, 72476.367, 0
24000, 1.079, 59793, 55415.199, 0
24000, 1.228, 59793, 48691.367, 0
24000, 1.102, 59793, 54258.621, 0
24000, 1.132, 59793, 52820.672, 0
24000, 1.045, 59793, 57218.184, 0
24000, 1.062, 59793, 56302.258, 0
24000, 1.077, 59793, 55518.105, 0
24000, 1.026, 59793, 58277.777, 0
25000, 1.086, 59793, 55058.012, 0
25000, 1.049, 59793, 57000.000, 0
25000, 1.162, 59793, 51456.973, 0
25000, 1.056, 59793, 56622.160, 0
25000, 1.143, 59793, 52312.336, 0
25000, 1.139, 59793, 52496.047, 0
25000, 1.079, 59793, 55415.199, 0
25000, 1.089, 59793, 54906.336, 0
25000, 1.089, 59793, 54906.336, 0
25000, 1.143, 59793, 52312.336, 0
25000, 1.065, 59793, 56143.660, 0
25000, 1.128, 59793, 53007.977, 0
